outer_i,val_human,val_ai,test_human,test_ai,n_train,n_val,n_test,selected_load_name,selected_model,selected_model_params,selected_use_scaler,val_accuracy,val_balanced_accuracy,val_f1_macro,val_f1_weighted,test_accuracy,test_balanced_accuracy,test_f1_macro,test_f1_weighted,selection_metric,selection_val_score,selection_test_score,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,val_mcc,val_cohen_kappa,val_per_class_metrics,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_mcc,test_cohen_kappa,test_per_class_metrics
1,Charlie,GPT4.1,David,GPT5,287,128,116,seconds_ws25_st12,dummy_most_frequent,{},0,0.6015625,0.5,0.375609756097561,0.45190548780487805,0.7068965517241379,0.5,0.41414141414141414,0.5855102751654475,f1_macro,0.375609756097561,0.41414141414141414,0.30078125,0.36187744140625,0.5,0.6015625,0.0,0.0,"{""ai"": {""f1-score"": 0.751219512195122, ""precision"": 0.6015625, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}",0.35344827586206895,0.4997027348394768,0.5,0.7068965517241379,0.0,0.0,"{""ai"": {""f1-score"": 0.8282828282828283, ""precision"": 0.7068965517241379, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}"
2,Eve,GPT4.1_V3,David,GPT4.1,243,177,111,seconds_ws25_st12,dummy_most_frequent,{},0,0.7796610169491526,0.5,0.4380952380952381,0.6831315577078289,0.6936936936936937,0.5,0.4095744680851064,0.5682384512171746,f1_macro,0.4380952380952381,0.4095744680851064,0.3898305084745763,0.6078713013501867,0.5,0.7796610169491526,0.0,0.0,"{""ai"": {""f1-score"": 0.8761904761904762, ""precision"": 0.7796610169491526, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 39.0}}",0.34684684684684686,0.48121094067040016,0.5,0.6936936936936937,0.0,0.0,"{""ai"": {""f1-score"": 0.8191489361702128, ""precision"": 0.6936936936936937, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}"
3,David,GPT4.1_V3,Alice,GPT5,249,172,110,seconds_ws25_st12,dummy_most_frequent,{},0,0.8023255813953488,0.5,0.44516129032258067,0.7143285821455364,0.7454545454545455,0.5,0.4270833333333333,0.6367424242424241,f1_macro,0.44516129032258067,0.4270833333333333,0.4011627906976744,0.6437263385613845,0.5,0.8023255813953488,0.0,0.0,"{""ai"": {""f1-score"": 0.8903225806451613, ""precision"": 0.8023255813953488, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}",0.37272727272727274,0.555702479338843,0.5,0.7454545454545455,0.0,0.0,"{""ai"": {""f1-score"": 0.8541666666666666, ""precision"": 0.7454545454545455, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}"
4,Charlie,GPT4.1_V2,Eve,GPT4.1,282,133,116,seconds_ws25_st12,dummy_most_frequent,{},0,0.6165413533834586,0.5,0.3813953488372093,0.4702920090924987,0.6637931034482759,0.5,0.39896373056994816,0.5296587457566553,f1_macro,0.3813953488372093,0.39896373056994816,0.3082706766917293,0.3801232404319068,0.5,0.6165413533834586,0.0,0.0,"{""ai"": {""f1-score"": 0.7627906976744186, ""precision"": 0.6165413533834586, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}",0.33189655172413796,0.4406212841854935,0.5,0.6637931034482759,0.0,0.0,"{""ai"": {""f1-score"": 0.7979274611398963, ""precision"": 0.6637931034482759, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 39.0}}"
5,Charlie,GPT4.1_V3,Eve,GPT4.1,226,189,116,seconds_ws25_st12,dummy_most_frequent,{},0,0.7301587301587301,0.5,0.42201834862385323,0.6162807630697539,0.6637931034482759,0.5,0.39896373056994816,0.5296587457566553,f1_macro,0.42201834862385323,0.39896373056994816,0.36507936507936506,0.5331317712270093,0.5,0.7301587301587301,0.0,0.0,"{""ai"": {""f1-score"": 0.8440366972477065, ""precision"": 0.7301587301587301, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}",0.33189655172413796,0.4406212841854935,0.5,0.6637931034482759,0.0,0.0,"{""ai"": {""f1-score"": 0.7979274611398963, ""precision"": 0.6637931034482759, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 39.0}}"
6,Eve,GPT5,Charlie,GPT4.1_V3,221,121,189,seconds_ws25_st12,dummy_most_frequent,{},0,0.6776859504132231,0.5,0.4039408866995074,0.5474901274274315,0.7301587301587301,0.5,0.42201834862385323,0.6162807630697539,f1_macro,0.4039408866995074,0.42201834862385323,0.33884297520661155,0.4592582473874735,0.5,0.6776859504132231,0.0,0.0,"{""ai"": {""f1-score"": 0.8078817733990148, ""precision"": 0.6776859504132231, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 39.0}}",0.36507936507936506,0.5331317712270093,0.5,0.7301587301587301,0.0,0.0,"{""ai"": {""f1-score"": 0.8440366972477065, ""precision"": 0.7301587301587301, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}"
7,David,GPT4.1,Eve,GPT4.1_V2,299,111,121,seconds_ws25_st12,dummy_most_frequent,{},0,0.6936936936936937,0.5,0.4095744680851064,0.5682384512171746,0.6776859504132231,0.5,0.4039408866995074,0.5474901274274315,f1_macro,0.4095744680851064,0.4039408866995074,0.34684684684684686,0.48121094067040016,0.5,0.6936936936936937,0.0,0.0,"{""ai"": {""f1-score"": 0.8191489361702128, ""precision"": 0.6936936936936937, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}",0.33884297520661155,0.4592582473874735,0.5,0.6776859504132231,0.0,0.0,"{""ai"": {""f1-score"": 0.8078817733990148, ""precision"": 0.6776859504132231, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 39.0}}"
8,Charlie,GPT5,Alice,GPT4.1_V2,288,133,110,seconds_ws25_st12,dummy_most_frequent,{},0,0.6165413533834586,0.5,0.3813953488372093,0.4702920090924987,0.7454545454545455,0.5,0.4270833333333333,0.6367424242424241,f1_macro,0.3813953488372093,0.4270833333333333,0.3082706766917293,0.3801232404319068,0.5,0.6165413533834586,0.0,0.0,"{""ai"": {""f1-score"": 0.7627906976744186, ""precision"": 0.6165413533834586, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}",0.37272727272727274,0.555702479338843,0.5,0.7454545454545455,0.0,0.0,"{""ai"": {""f1-score"": 0.8541666666666666, ""precision"": 0.7454545454545455, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}"
9,Eve,GPT4.1,David,GPT4.1_V3,243,116,172,seconds_ws25_st12,dummy_most_frequent,{},0,0.6637931034482759,0.5,0.39896373056994816,0.5296587457566553,0.8023255813953488,0.5,0.44516129032258067,0.7143285821455364,f1_macro,0.39896373056994816,0.44516129032258067,0.33189655172413796,0.4406212841854935,0.5,0.6637931034482759,0.0,0.0,"{""ai"": {""f1-score"": 0.7979274611398963, ""precision"": 0.6637931034482759, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 39.0}}",0.4011627906976744,0.6437263385613845,0.5,0.8023255813953488,0.0,0.0,"{""ai"": {""f1-score"": 0.8903225806451613, ""precision"": 0.8023255813953488, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}"
10,Charlie,GPT4.1,David,GPT4.1_V2,287,128,116,seconds_ws25_st12,dummy_most_frequent,{},0,0.6015625,0.5,0.375609756097561,0.45190548780487805,0.7068965517241379,0.5,0.41414141414141414,0.5855102751654475,f1_macro,0.375609756097561,0.41414141414141414,0.30078125,0.36187744140625,0.5,0.6015625,0.0,0.0,"{""ai"": {""f1-score"": 0.751219512195122, ""precision"": 0.6015625, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}",0.35344827586206895,0.4997027348394768,0.5,0.7068965517241379,0.0,0.0,"{""ai"": {""f1-score"": 0.8282828282828283, ""precision"": 0.7068965517241379, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}"
